ZSTAR3 Acquire data file
Freescale Semiconductor
Roznov CSC
Time (s);Real Data X (g){0};Real Data Y (g){0};Real Data Z (g){0};
0.0660;0.0317;-0.2540;0.9841;
0.4330;0.0476;-0.3175;1.0317;
0.5330;0.0635;-0.3333;0.9683;
0.5660;0.1270;-0.3651;0.9524;
0.5990;0.0159;-0.3651;0.9206;
0.6990;0.0952;-0.3333;0.9524;
0.8660;0.1111;-0.4127;0.9365;
0.8990;0.1270;-0.4762;0.9048;
0.9660;0.1270;-0.5397;0.9206;
0.9990;0.0476;-0.5397;0.8889;
1.0330;0.0476;-0.5079;0.7937;
1.0660;0.0476;-0.5556;0.6825;
1.0990;-0.0159;-0.5714;0.6190;
1.1990;0.0317;-0.6349;0.6190;
1.2660;0.0635;-0.6667;0.6825;
1.3330;0.1429;-0.6825;0.7143;
1.3990;0.0794;-0.6667;0.6349;
1.4660;0.2063;-0.6667;0.6984;
1.4990;0.1270;-0.6825;0.7143;
1.5330;0.2063;-0.6667;0.7302;
1.5990;0.0952;-0.6825;0.7302;
1.7330;0.1587;-0.6667;0.6825;
1.8660;0.0952;-0.6984;0.6984;
1.9990;0.1270;-0.6667;0.7619;
2.3990;0.1111;-0.6667;0.7302;
2.7990;0.1111;-0.6667;0.7460;
3.1990;0.0952;-0.6667;0.7302;
3.5990;0.0952;-0.6667;0.7619;
3.9990;0.0952;-0.6825;0.7302;
4.3990;0.0952;-0.6667;0.7302;
4.7990;0.1111;-0.6984;0.7143;
5.1990;0.0952;-0.6825;0.7460;
5.5990;0.1111;-0.6825;0.7302;
5.9990;0.1111;-0.6825;0.6984;
6.3990;0.0952;-0.6508;0.7302;
6.7990;0.1270;-0.6667;0.7460;
7.1990;0.0952;-0.6825;0.7619;
7.2330;0.1111;-0.6508;0.6984;
7.2660;0.0952;-0.6667;0.7619;
7.6660;0.1111;-0.6825;0.7302;
8.0660;0.0952;-0.6825;0.7302;
8.4660;0.0952;-0.6667;0.7302;
8.8660;0.0794;-0.6508;0.7143;
9.2660;0.0476;-0.6190;0.7302;
9.3320;0.1111;-0.5873;0.7619;
9.5990;0.0794;-0.5079;0.8254;
9.6660;0.0159;-0.4603;0.8413;
9.7660;0.0000;-0.3968;0.8571;
9.7990;0.0635;-0.4286;0.9048;
9.8320;0.0635;-0.3651;0.8889;
9.8660;0.0952;-0.4444;0.9048;
9.8990;0.0000;-0.3492;0.8730;
9.9660;-0.0635;-0.2540;0.9206;
9.9990;0.1111;-0.2540;0.9206;
10.0320;0.0159;-0.2222;0.9206;
10.0990;0.0159;-0.1905;0.9841;
10.1320;-0.0635;-0.1746;1.0159;
10.2320;0.0000;-0.1429;1.0794;
10.2990;-0.0635;-0.1270;1.0317;
10.3320;0.0000;-0.0952;1.0794;
10.3990;-0.0794;-0.0635;1.0000;
10.5320;-0.1429;-0.0476;0.9841;
10.5990;-0.0794;-0.0476;1.0159;
10.6320;-0.2063;-0.0476;0.9206;
10.6660;-0.1270;-0.0476;1.0159;
10.7320;-0.1905;-0.0317;0.9683;
10.7990;-0.1270;-0.0159;1.0000;
11.0320;-0.2063;-0.0159;1.0159;
11.1660;-0.1746;0.0000;0.9524;
